A,B,C,D
1,18,-26.77,276.37
2,18,-25.9,276.11
3,12,-25.01,168.12
4,31,-23.72,510.14
5,8,-22.67,96.35
6,22,-21.83,348.24
7,27,-20.89,438.32
8,29,-19.83,474.1
9,29,-18.65,474.06
10,5,-17.78,42
11,37,-17,618.17
12,29,-15.9,474.29
13,2,-14.85,-11.77
14,16,-13.94,240.13
15,24,-12.94,384.01
16,22,-11.72,348.2
17,8,-10.93,96.25
18,35,-9.63,582.05
19,39,-8.82,654.02
20,7,-7.85,78.26
21,2,-6.87,-11.8
22,21,-5.98,330.32
23,13,-4.64,186.09
24,30,-3.95,492.09
25,37,-2.71,618.17
26,0,-1.97,-48.01
27,14,-0.96,204.09
28,34,-0.01,564
29,1,0.98,-29.8
30,5,1.98,42.37
31,25,3,402.04
32,7,4.21,78
33,1,5.26,-30.01
34,13,6.16,185.98
35,24,7.14,384.29
36,36,8.06,600.35
37,37,9.13,618.01
38,0,10.07,-47.66
39,2,11,-11.74
40,16,12.37,240.26
41,8,13.22,96.2
42,14,14.29,204.04
43,9,15.22,114.24
44,10,16.35,132.03
45,2,17.12,-11.89
46,33,18,546.11
47,22,19.37,348.18
48,17,20.3,258.19
49,5,21.32,42.21
50,34,22.01,564.2
51,14,23.09,204.04
52,37,24.15,618.27
53,35,25.24,582.12
54,21,26.26,330.01
55,18,28,276.28
56,9,28.29,114.14
57,11,29.35,150.28
58,3,30.15,6.06
59,35,31.29,582.11
60,21,32.12,330.37
61,24,33.35,384.12
62,27,34.33,438.01
63,5,35.23,42.36
64,23,36.37,366.17
65,4,37,24.36
66,26,38.02,420.19
67,2,39.13,-11.92
68,33,40.08,546.18
69,33,41.03,546.09
70,38,42.17,636.23
71,38,43.01,636.12
72,4,44.21,24.08
73,7,45.18,78.25
74,5,46.01,42.16
75,16,47.37,240.1
76,6,48.24,60.14
77,28,49.26,456.3
78,38,50.11,636
79,10,51.04,131.98
80,21,52.03,330.17
81,7,53.33,78.12
82,13,54.37,186.35
83,15,55.04,222.07
84,2,56.01,-11.89
85,20,57.09,312.02
86,33,58.16,546.28
87,1,59.04,-29.91
88,33,60.34,546.22
89,28,61.05,456.21
90,20,62.18,312.18
91,39,63.25,654.13
92,5,64.31,42.04
93,3,65.06,6.1
94,12,66.09,168.05
95,17,67.21,258.16
96,14,68.06,204.34
97,4,69.08,24.32
98,15,70.33,222.21
99,32,71.13,528.2
100,15,72.33,222
