A,B,C,D,E,F
15,68.55,13,176.04,-5.2091,-15.1283
19,96.06,35,396.53,13.2115,10.6984
37,222.17,34,386.39,-54.9927,-49.5156
1,-29.5,14,186.18,-48.4219,-51.9261
17,82.54,5,96.23,-6.97336,-0.61009
9,26.17,10,146.19,24.4124,75.1334
28,159.55,36,406.52,-18.4691,-50.7434
30,173.01,17,216.13,57.2859,9.07319
5,-2.03,29,336.36,-49.0007,-45.6939
11,40.07,27,316.45,85.9674,23.0349
9,26.15,12,166.48,29.2851,65.7752
18,89.5,21,256.43,-5.07143,-10.8757
32,187.47,16,206.06,23.6523,61.6163
5,-1.51,6,106.12,-33.5334,-15.6369
5,-1.56,10,146.1,14.5544,3.62883
25,138.53,37,416.55,-50.1069,-77.1577
21,110.03,35,396.12,11.4783,6.10313
15,68.34,26,306.48,-78.417,-23.9745
37,222.21,36,406.21,70.4708,8.65272
4,-8.87,39,436.23,-7.21666,-8.3018
6,5.44,31,356.52,69.2072,33.7546
37,222.15,9,136.21,4.72759,1.62784
20,102.97,11,156.03,23.4195,36.0628
38,229.18,38,426.24,-53.9505,-52.0993
39,235.98,25,296.55,-10.1976,-31.3849
24,131.22,14,186.04,32.9457,73.9972
38,229.27,21,256.45,-27.3582,-18.4534
2,-22.96,39,436.23,-5.51608,-4.30963
28,159,36,406.03,-41.3338,-66.1477
27,152.38,34,386.09,-78.5824,-41.7829
39,236.33,39,436.02,-22.2717,-52.4688
28,159.31,14,185.99,-40.2902,-41.7217
1,-29.67,8,126.49,-14.1842,-11.0819
7,11.99,9,136.2,-59.6713,-6.2717
16,75.24,5,96.19,45.2826,39.3635
16,75.48,12,166.24,-51.9261,-48.4219
19,96.06,2,66.42,34.4215,62.098
27,152.01,32,366.04,-22.6506,-3.99391
33,194.21,9,136.39,-19.3185,-5.17638
25,138.25,37,416.27,-64.0213,-61.8246
7,12.56,13,176.28,-69.9684,-24.092
11,40.14,3,76.5,28.0457,77.0548
9,26.18,19,236.51,24.6744,32.744
29,166.11,5,96.27,23.2574,63.8991
0,-36.78,13,176.27,-43.1916,-8.39559
11,40.32,35,396.41,36.1402,11.7426
18,89.47,10,146.19,9.64182,11.4907
29,166.42,18,226.17,96.0593,23.9502
9,26.17,5,96.31,-33.5181,-92.0898
19,96,31,356.41,2.19186,4.49397
33,194.33,6,106.45,-41.1071,-22.786
34,201,6,106.41,-12.5267,-19.2894
21,110.03,7,115.97,76.9752,17.7711
31,180.05,10,146.14,42.2839,45.3439
2,-22.7,7,116.3,32.1469,36.9807
32,187.19,21,256.15,-43.0185,-37.3953
15,68.34,9,135.98,12.6138,3.14498
23,124.44,17,216.19,-52.2872,-31.4173
12,47.07,24,286.31,-67.1969,-28.5234
19,96.07,23,276.15,-38.9712,-22.5
3,-15.63,19,236.13,-16.3392,-25.1601
2,-22.98,11,156,-60.1948,-54.1995
2,-22.81,4,86.17,-82.1923,-11.5514
16,75.18,25,296.1,-23.9749,-59.3397
3,-15.48,3,76.36,84.6766,7.40823
24,131.05,10,146,61.5208,17.6408
18,89.03,6,105.98,-7.43145,-6.6913
18,89.41,20,246.31,-32.8876,-14.6425
9,26.1,10,146.12,-0.584745,-1.91261
0,-37.02,5,96.52,24.4042,54.8127
5,-1.87,19,236.33,0,0
17,82.27,22,266.32,-45.8385,-76.2878
